"phi_0","gradPhi_0","gradPhi_1","Points:0","Points:1","Points:2"
-1.9037,1.2612,0.57796,-1.002,1.0297,0
-2.0336,1.1269,0.66875,-1.0253,0.86666,0
-1.7628,1.3574,0.5574,-0.92738,1.1057,0
-1.9326,1.2691,0.47615,-1.0681,1.1341,0
-1.7659,1.3639,0.46632,-0.96671,1.2046,0
-1.8942,1.306,0.3928,-1.0818,1.2635,0
-2.058,1.2181,0.4184,-1.1778,1.1586,0
-2.0136,1.2529,0.37209,-1.1722,1.2533,0
-2.1524,1.1855,0.37953,-1.2623,1.1765,0
-2.1225,1.2107,0.34492,-1.2614,1.256,0
-1.7687,1.368,0.38754,-1.0002,1.3055,0
-1.6281,1.4391,0.43466,-0.89047,1.273,0
-2.216,1.1655,0.35652,-1.3196,1.1867,0
-2.2232,1.173,0.32849,-1.3419,1.2417,0
-2.1033,1.2293,0.30369,-1.2688,1.3429,0
-2.2442,1.179,0.28145,-1.3842,1.3362,0
-1.6413,1.4298,0.35944,-0.92591,1.368,0
-1.4967,1.5035,0.39069,-0.82081,1.3428,0
-2.3178,1.1357,0.32561,-1.4112,1.1972,0
-2.2759,1.1369,0.36071,-1.3576,1.1415,0
-1.5187,1.4841,0.32024,-0.85758,1.4356,0
-1.3693,1.5572,0.34026,-0.75437,1.4128,0
-1.6663,1.4164,0.29336,-0.96494,1.4617,0
-2.0697,1.2501,0.26369,-1.2622,1.4324,0
-2.1905,1.2076,0.24102,-1.3631,1.4453,0
-1.332,1.593,0.40838,-0.71032,1.3272,0
-1.1952,1.643,0.34163,-0.64338,1.4029,0
-2.4127,1.0983,0.32551,-1.4784,1.1358,0
-2.3635,1.097,0.36151,-1.4147,1.0759,0
-1.2438,1.6019,0.2872,-0.68875,1.4824,0
-1.064,1.6806,0.27829,-0.57785,1.4745,0
-2.4551,1.0991,0.29382,-1.5351,1.2006,0
-0.99012,1.7364,0.31532,-0.52277,1.4067,0
-0.86969,1.7571,0.24972,-0.46488,1.4751,0
-2.5322,1.0591,0.31708,-1.5686,1.0668,0
-2.4593,1.0544,0.35829,-1.4767,0.99493,0
-2.3851,1.0527,0.40168,-1.3897,0.94892,0
-2.4572,1.0048,0.39979,-1.4236,0.85593,0
-2.3782,1.0052,0.44673,-1.3376,0.83854,0
-2.5031,0.95373,0.40108,-1.4285,0.75357,0
-2.4177,0.95575,0.45149,-1.3406,0.7571,0
-2.5269,0.90001,0.40194,-1.4126,0.65784,0
-2.5984,0.95665,0.35534,-1.5272,0.75074,0
-2.628,0.90057,0.34591,-1.5113,0.62484,0
-2.535,0.85906,0.40171,-1.3931,0.59507,0
-2.5869,0.84159,0.3656,-1.4324,0.54695,0
-2.5369,0.78727,0.40102,-1.3512,0.50463,0
-1.5462,1.4655,0.25677,-0.89462,1.5297,0
-1.7233,1.3913,0.22448,-1.0253,1.5689,0
-0.89435,1.8063,0.33842,-0.4583,1.3506,0
-0.93868,1.7096,0.22305,-0.5133,1.5381,0
-2.726,0.93097,0.30644,-1.626,0.64661,0
-2.1418,1.2307,0.20424,-1.3402,1.5385,0
-2.2601,1.1906,0.18347,-1.4414,1.56,0
-2.3357,1.1598,0.21906,-1.4875,1.4539,0
-2.3629,1.1576,0.16247,-1.5335,1.5908,0
-2.483,0.83735,0.44369,-1.3273,0.58604,0
-2.5631,1.0072,0.3501,-1.5391,0.88373,0
-0.79013,1.7673,0.21013,-0.42546,1.519,0
-1.0371,1.7888,0.45155,-0.51601,1.2518,0
-2.5919,0.74774,0.34239,-1.3823,0.42084,0
-2.6678,0.8239,0.30371,-1.4968,0.46504,0
-2.4384,1.1305,0.186,-1.5876,1.5129,0
-1.6179,1.4523,0.62625,-0.81442,1.0828,0
-2.138,1.1642,0.44582,-1.2124,1.0691,0
-2.4436,1.1325,0.14033,-1.6098,1.6344,0
-2.5392,0.67554,0.38454,-1.2931,0.39079,0
-0.81251,1.7392,0.18332,-0.44479,1.5774,0
-1.0103,1.6661,0.19231,-0.56417,1.6064,0
-2.2152,1.2094,0.14984,-1.4161,1.6476,0
-2.1018,1.2487,0.16608,-1.3215,1.6293,0
-1.5726,1.4501,0.19738,-0.92791,1.6273,0
-0.66749,1.7791,0.15633,-0.36287,1.5825,0
-2.7015,0.77523,0.24577,-1.4981,0.34691,0
-2.7928,0.83325,0.20801,-1.6106,0.34377,0
-0.89647,1.8711,0.42381,-0.43819,1.2477,0
-0.79928,1.8823,0.3528,-0.39715,1.2996,0
-2.3268,1.0071,0.48242,-1.2818,0.82827,0
-1.8286,1.3472,0.2769,-1.0829,1.4637,0
-1.0539,1.8481,0.56658,-0.49619,1.1474,0
-0.73463,1.964,0.3811,-0.35157,1.2371,0
-2.5211,1.1063,0.16213,-1.6692,1.5616,0
-2.52,1.1027,0.20541,-1.6474,1.4372,0
-2.3875,1.1519,0.12565,-1.566,1.6809,0
-2.5251,1.1069,0.11032,-1.6904,1.7048,0
-0.66464,1.7506,0.11767,-0.36832,1.6738,0
